window_ts,window_et,window_utc,ticker,level,contracts,mid_at_post,yes_status,no_status,yes_filled_at,no_filled_at,yes_vol,no_vol,outcome,result,pnl,status,placed_at,settled_at
1790124300,2026-09-22 20:45,2026-09-23 00:45,KXBTC15M-26SEP222100-00,0.4,25,0.625,filled,filled,2026-09-23T00:58:36.867327+00:00,2026-09-23T00:45:56.841140+00:00,34,1393761,both,,5.0,settled,2026-09-23T00:45:16.330927+00:00,2026-09-23T00:58:36.873145+00:00
1790125200,2026-09-22 21:00,2026-09-23 01:00,KXBTC15M-26SEP222115-15,0.4,25,0.475,unfilled,filled,,2026-09-23T01:01:16.842673+00:00,0,2490758,no_only,yes,-10.0,settled,2026-09-23T01:00:36.485671+00:00,2026-09-23T01:16:36.619696+00:00
1790126100,2026-09-22 21:15,2026-09-23 01:15,KXBTC15M-26SEP222130-30,0.4,25,0.385,filled,unfilled,2026-09-23T01:15:56.997664+00:00,,2007822,0,yes_only,no,-10.0,settled,2026-09-23T01:15:16.714278+00:00,2026-09-23T01:31:16.768799+00:00
1790127000,2026-09-22 21:30,2026-09-23 01:30,KXBTC15M-26SEP222145-45,0.4,25,0.515,filled,unfilled,2026-09-23T01:32:37.148678+00:00,,1545452,0,yes_only,no,-10.0,settled,2026-09-23T01:30:36.896291+00:00,2026-09-23T01:46:29.382666+00:00
1790127900,2026-09-22 21:45,2026-09-23 01:45,KXBTC15M-26SEP222200-00,0.4,25,0.46499999999999997,filled,filled,2026-09-23T01:46:29.724587+00:00,2026-09-23T01:58:52.721512+00:00,1677176,42734,both,,5.0,settled,2026-09-23T01:45:17.127761+00:00,2026-09-23T01:58:52.725476+00:00
1790128800,2026-09-22 22:00,2026-09-23 02:00,KXBTC15M-26SEP222215-15,0.4,25,0.585,filled,filled,2026-09-23T02:02:12.448285+00:00,2026-09-23T02:00:52.432620+00:00,352,108411,both,,5.0,settled,2026-09-23T02:00:12.120068+00:00,2026-09-23T02:02:12.451895+00:00
1790129700,2026-09-22 22:15,2026-09-23 02:15,KXBTC15M-26SEP222230-30,0.4,25,0.635,unfilled,filled,,2026-09-23T02:16:12.688313+00:00,0,1838162,no_only,yes,-10.0,settled,2026-09-23T02:15:32.525613+00:00,2026-09-23T02:31:32.550119+00:00
1790130600,2026-09-22 22:30,2026-09-23 02:30,KXBTC15M-26SEP222245-45,0.4,25,0.41500000000000004,filled,unfilled,2026-09-23T02:30:52.904050+00:00,,1656759,0,yes_only,no,-10.0,settled,2026-09-23T02:30:12.619737+00:00,2026-09-23T02:46:12.890334+00:00
1790131500,2026-09-22 22:45,2026-09-23 02:45,KXBTC15M-26SEP222300-00,0.4,25,0.545,filled,filled,2026-09-23T02:48:13.281008+00:00,2026-09-23T02:46:13.311167+00:00,700,255460,both,,5.0,settled,2026-09-23T02:45:32.858692+00:00,2026-09-23T02:48:13.284508+00:00
1790132400,2026-09-22 23:00,2026-09-23 03:00,KXBTC15M-26SEP222315-15,0.4,25,0.475,filled,unfilled,2026-09-23T03:01:33.340371+00:00,,1578183,0,yes_only,no,-10.0,settled,2026-09-23T03:00:13.214559+00:00,2026-09-23T03:16:02.319642+00:00
1790133300,2026-09-22 23:15,2026-09-23 03:15,KXBTC15M-26SEP222330-30,0.4,25,0.475,filled,filled,2026-09-23T03:16:42.705914+00:00,2026-09-23T03:18:42.732274+00:00,32678,125943,both,,5.0,settled,2026-09-23T03:15:22.457641+00:00,2026-09-23T03:18:42.734989+00:00
1790134200,2026-09-22 23:30,2026-09-23 03:30,KXBTC15M-26SEP222345-45,0.4,25,0.505,resting,filled,,2026-09-23T03:30:42.926306+00:00,0,161746,,,,resting,2026-09-23T03:30:02.696148+00:00,
